Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
11/18/2021 21:54,11/20/2021 6:50,UTC-06:00,11/18/2021 21:54,11/19/2021 6:12,97,14.4,456,498,208,117,131,42,468,0,91,FALSE
11/17/2021 19:50,11/18/2021 21:54,UTC-06:00,11/17/2021 19:50,11/18/2021 6:34,100,14.5,581,633,320,108,153,52,550,68,92,FALSE
11/16/2021 21:04,11/17/2021 19:50,UTC-06:00,11/16/2021 21:04,11/17/2021 3:58,70,14.2,388,413,181,72,135,25,555,77,93,FALSE
11/15/2021 21:39,11/16/2021 21:04,UTC-06:00,11/15/2021 21:39,11/16/2021 3:57,66,14.5,321,377,154,71,96,56,488,23,85,FALSE
11/14/2021 21:25,11/15/2021 21:39,UTC-06:00,11/14/2021 21:25,11/15/2021 6:14,92,14.5,501,526,211,89,201,25,548,72,95,FALSE
11/13/2021 23:55,11/14/2021 21:25,UTC-06:00,11/13/2021 23:55,11/14/2021 6:16,68,14.3,351,380,169,70,112,29,516,43,92,FALSE
11/12/2021 22:59,11/13/2021 23:55,UTC-06:00,11/12/2021 22:59,11/13/2021 6:16,81,14.8,400,423,135,99,166,23,495,0,94,FALSE
8/5/2021 22:47,8/6/2021 22:02,UTC-05:00,8/5/2021 22:47,8/6/2021 7:12,95,14.8,461,503,242,96,123,42,487,0,92,FALSE
8/4/2021 22:02,8/5/2021 22:47,UTC-05:00,8/4/2021 22:02,8/5/2021 6:45,100,14.6,486,522,245,108,133,36,474,15,93,FALSE
8/3/2021 22:36,8/4/2021 22:02,UTC-05:00,8/3/2021 22:36,8/4/2021 6:52,93,14.2,441,485,222,79,140,44,476,0,90,FALSE
8/2/2021 21:52,8/3/2021 22:36,UTC-05:00,8/2/2021 21:52,8/3/2021 7:17,100,14.2,536,565,258,108,170,29,492,29,95,FALSE
8/1/2021 21:41,8/2/2021 21:52,UTC-05:00,8/1/2021 21:41,8/2/2021 5:02,87,14.1,399,441,194,102,103,42,461,0,91,FALSE
7/31/2021 22:52,8/1/2021 21:41,UTC-05:00,7/31/2021 22:52,8/1/2021 7:28,100,13.7,479,513,234,76,169,34,468,0,93,FALSE
7/30/2021 22:59,7/31/2021 22:52,UTC-05:00,7/30/2021 22:59,7/31/2021 8:12,100,14.4,499,551,222,117,160,52,475,17,90,FALSE
7/29/2021 23:04,7/30/2021 22:59,UTC-05:00,7/29/2021 23:04,7/30/2021 7:09,94,14.2,431,482,176,102,153,51,458,0,89,FALSE
7/28/2021 21:32,7/29/2021 23:04,UTC-05:00,7/28/2021 21:32,7/29/2021 7:16,100,14.1,528,582,211,104,213,54,460,0,90,FALSE
7/27/2021 23:00,7/28/2021 21:32,UTC-05:00,7/27/2021 23:00,7/28/2021 7:59,100,14.4,507,539,246,115,146,32,467,0,93,FALSE
